Sample in Buffer,Sample in Window,TRIGGER,design_1_i/rf_ss/rf_data_system_ila/inst/probe0_1[15:0],design_1_i/rf_ss/rf_data_system_ila/inst/probe1_1[15:0],design_1_i/rf_ss/rf_data_system_ila/inst/probe2_1[15:0],design_1_i/rf_ss/rf_data_system_ila/inst/probe3_1[15:0],design_1_i/rf_ss/rf_data_system_ila/inst/probe4_1[15:0],design_1_i/rf_ss/rf_data_system_ila/inst/probe5_1[15:0],design_1_i/rf_ss/rf_data_system_ila/inst/probe6_1[15:0],design_1_i/rf_ss/rf_data_system_ila/inst/probe7_1[15:0],design_1_i/rf_ss/rf_data_system_ila/inst/probe8_1[15:0],design_1_i/rf_ss/rf_data_system_ila/inst/probe9_1[15:0],design_1_i/rf_ss/rf_data_system_ila/inst/probe10_1[15:0],design_1_i/rf_ss/rf_data_system_ila/inst/probe11_1[15:0],design_1_i/rf_ss/rf_data_system_ila/inst/probe12_1[15:0],design_1_i/rf_ss/rf_data_system_ila/inst/probe13_1[15:0],design_1_i/rf_ss/rf_data_system_ila/inst/probe14_1[15:0],design_1_i/rf_ss/rf_data_system_ila/inst/probe15_1[15:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED
871,871,0,744,-2524,3396,-2964,1416,840,-2540,3404,372,-828,969,-739,227,371,-828,969
872,872,0,-2968,1408,736,-2628,3412,-2956,1380,836,969,-739,227,372,-828,969,-739,227
873,873,0,-2604,3372,-2964,1412,828,-2656,3380,-2980,227,372,-828,969,-739,227,372,-828
874,874,0,1400,804,-2524,3372,-2960,1352,768,-2628,-828,969,-739,227,371,-828,969,-739
875,875,0,3360,-2968,1324,700,-2640,3396,-3004,1416,-739,228,371,-828,969,-739,227,371
876,876,0,760,-2524,3380,-2996,1408,700,-2612,3396,371,-828,969,-740,228,371,-828,969
877,877,0,-2980,1340,720,-2644,3388,-2984,1392,796,969,-740,228,371,-828,969,-740,228
878,878,0,-2620,3356,-2964,1388,812,-2640,3324,-2932,229,370,-828,969,-740,228,370,-828
879,879,0,1356,716,-2556,3396,-2980,1388,732,-2636,-826,969,-740,229,370,-827,969,-740
880,880,0,3388,-2952,1324,836,-2540,3336,-2996,1348,-740,229,370,-827,969,-740,229,369
881,881,0,744,-2624,3372,-3036,1316,816,-2556,3348,369,-827,969,-740,229,369,-828,969
882,882,0,-2960,1368,812,-2652,3328,-2968,1388,860,967,-740,229,369,-826,968,-741,229
883,883,0,-2568,3396,-2972,1396,740,-2664,3380,-2980,230,368,-825,967,-739,230,369,-825
884,884,0,1324,724,-2500,3420,-2952,1312,792,-2628,-825,967,-740,230,368,-825,967,-739
885,885,0,3388,-2972,1332,828,-2516,3404,-2964,1324,-740,230,367,-825,967,-740,230,368
886,886,0,736,-2600,3396,-2956,1424,864,-2564,3416,367,-824,967,-740,230,367,-825,967
887,887,0,-2992,1392,852,-2636,3436,-2964,1328,752,967,-740,231,367,-824,967,-740,231
888,888,0,-2600,3396,-2964,1412,676,-2688,3372,-2948,231,367,-824,967,-740,231,367,-824
889,889,0,1332,748,-2604,3364,-2968,1396,848,-2540,-824,967,-741,231,366,-824,967,-741
890,890,0,3336,-2972,1368,828,-2532,3420,-2956,1376,-741,232,366,-824,967,-741,232,366
891,891,0,720,-2632,3420,-3004,1316,796,-2540,3408,366,-824,967,-741,232,366,-824,967
892,892,0,-2956,1324,820,-2572,3372,-2972,1304,812,967,-741,232,365,-824,967,-741,232
893,893,0,-2568,3380,-2964,1404,708,-2632,3396,-2948,233,365,-823,967,-741,232,365,-823
894,894,0,1416,804,-2516,3380,-2980,1396,756,-2636,-823,967,-742,233,365,-823,967,-741
895,895,0,3376,-3028,1400,812,-2632,3416,-2964,1316,-742,233,365,-823,967,-742,233,365
896,896,0,828,-2584,3380,-2964,1292,848,-2620,3332,364,-823,967,-742,233,364,-823,967
897,897,0,-2976,1368,784,-2700,3392,-2968,1364,752,966,-742,234,364,-823,967,-742,233
898,898,0,-2620,3364,-2972,1388,708,-2532,3372,-2956,234,364,-823,967,-742,234,364,-822
899,899,0,1332,820,-2644,3420,-2952,1288,832,-2532,-822,967,-743,234,364,-822,968,-742
900,900,0,3396,-2988,1340,796,-2648,3384,-2940,1332,-741,234,363,-821,966,-742,234,363
901,901,0,760,-2548,3388,-3020,1332,756,-2628,3396,360,-820,965,-742,235,361,-821,965
902,902,0,-2968,1324,820,-2572,3376,-2972,1364,736,966,-743,237,360,-819,966,-743,236
903,903,0,-2652,3396,-2980,1364,844,-2664,3388,-3004,237,360,-819,966,-743,237,360,-819
